codigo_manzana,total_pob,cuenta_1,cuenta_2,cuenta_3,cuenta_4,cuenta_5,cuenta_6,cuenta_7,cuenta_8,cuenta_9,cuenta_10,cuenta_11,cuenta_12,cuenta_13,cuenta_14,cuenta_15,cuenta_16,cuenta_17,cuenta_18,cuenta_19,cuenta_20,cuenta_21,cantidad_casas,educacion_mas_alta,estrato,porcentaje_internet,porcentaje_luz
5000610000000000020417,99,6.0,4.0,7.0,11.0,9.0,6.0,11.0,7.0,9.0,6.0,6.0,5.0,5.0,3.0,,1.0,,3.0,,,,42,6.0,3.0,0.4,0.76
5000610000000000020419,31,3.0,4.0,2.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,1.0,,,,,,,,,,,9,6.0,2.3,0.78,0.89
5000610000000000020420,113,10.0,6.0,12.0,8.0,11.0,11.0,14.0,6.0,9.0,10.0,2.0,8.0,1.0,3.0,,1.0,,1.0,,,,45,5.0,2.3,0.29,0.78
5000610000000000020421,133,9.0,8.0,6.0,10.0,21.0,10.0,6.0,7.0,13.0,13.0,14.0,9.0,1.0,1.0,2.0,,3.0,,,,,45,5.0,2.2,0.42,0.87
5000610000000000020422,113,7.0,2.0,10.0,15.0,9.0,5.0,6.0,15.0,11.0,6.0,5.0,7.0,3.0,5.0,3.0,1.0,2.0,,1.0,,,38,5.0,2.2,0.53,0.89
5000610000000000020423,63,2.0,5.0,5.0,6.0,3.0,5.0,8.0,4.0,7.0,2.0,6.0,1.0,,4.0,2.0,3.0,,,,,,34,4.0,1.9,0.32,0.59
5000610000000000020424,61,2.0,3.0,6.0,6.0,4.0,5.0,6.0,6.0,7.0,6.0,2.0,2.0,,2.0,2.0,1.0,,,,,1.0,24,4.0,2.1,0.58,0.79
5000610000000000020425,73,3.0,6.0,5.0,3.0,5.0,6.0,10.0,10.0,6.0,2.0,6.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,29,4.0,2.0,0.62,0.83
5000610000000000020426,102,10.0,8.0,12.0,4.0,4.0,4.0,11.0,10.0,10.0,5.0,5.0,3.0,5.0,6.0,4.0,,,,,1.0,,47,5.0,3.6,0.51,0.66
5000610000000000020427,86,2.0,10.0,7.0,9.0,4.0,8.0,9.0,10.0,8.0,5.0,2.0,,3.0,4.0,3.0,1.0,1.0,,,,,44,5.0,2.9,0.48,0.61
5000610000000000020428,40,3.0,3.0,2.0,2.0,3.0,5.0,3.0,3.0,2.0,1.0,4.0,3.0,,4.0,1.0,,1.0,,,,,20,4.0,2.0,0.1,0.7
5000610000000000020429,33,3.0,4.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,3.0,2.0,1.0,,1.0,,,2.0,,,,10,3.0,1.9,0.2,0.8
5000610000000000020430,44,3.0,2.0,9.0,2.0,2.0,5.0,1.0,6.0,3.0,4.0,1.0,2.0,1.0,2.0,,1.0,,,,,,17,4.0,1.9,0.29,0.71
5000610000000000020431,36,2.0,4.0,2.0,4.0,2.0,4.0,4.0,1.0,5.0,3.0,1.0,,2.0,1.0,,1.0,,,,,,12,4.0,2.0,0.58,0.92
5000610000000000020433,30,2.0,,6.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,1.0,,,11,4.0,2.4,0.18,0.64
5000610000000000020434,19,1.0,,1.0,3.0,,1.0,1.0,,4.0,1.0,4.0,2.0,,1.0,,,,,,,,8,4.0,2.3,0.38,0.88
5000610000000000020436,7,,,1.0,,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,4,7.0,2.0,0.5,1.0
5000610000000000020437,29,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,,3.0,2.0,,1.0,1.0,,,,9,4.0,2.0,0.44,0.89
